
,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
112,2007,Hunterdon,34.2034.2,24.5024.5,39.2039.2,47.1047.1,61.9061.9,69.7069.7,71.9071.9,72.0072.0,66.6066.6,60.6060.6,41.4041.4,33.1033.1
113,2008,Hunterdon,32.2032.2,32.6032.6,40.0040.0,52.3052.3,56.3056.3,71.6071.6,74.8074.8,69.5069.5,65.9065.9,51.2051.2,41.8041.8,33.8033.8
114,2009,Hunterdon,24.4024.4,33.0033.0,39.3039.3,51.7051.7,60.3060.3,66.4066.4,70.0070.0,73.1073.1,63.0063.0,51.4051.4,48.0048.0,32.3032.3
115,2010,Hunterdon,29.5029.5,30.0030.0,45.1045.1,54.5054.5,63.0063.0,72.2072.2,76.8076.8,73.2073.2,67.5067.5,54.1054.1,43.0043.0,29.3029.3
116,2011,Hunterdon,25.2025.2,31.8031.8,39.5039.5,52.2052.2,62.7062.7,70.3070.3,76.9076.9,72.0072.0,66.9066.9,55.0055.0,46.7046.7,38.2038.2
117,2012,Hunterdon,32.9032.9,37.1037.1,48.5048.5,50.7050.7,64.5064.5,68.5068.5,76.2076.2,72.8072.8,65.3065.3,54.7054.7,39.9039.9,38.2038.2
118,2013,Hunterdon,31.8031.8,30.5030.5,37.9037.9,50.5050.5,59.9059.9,70.0070.0,76.2076.2,69.4069.4,62.9062.9,55.7055.7,41.2041.2,33.0033.0
119,2014,Hunterdon,22.6022.6,26.4026.4,33.2033.2,49.3049.3,60.9060.9,69.2069.2,72.7072.7,69.2069.2,65.7065.7,55.7055.7,39.6039.6,37.0037.0
120,2015,Hunterdon,25.2025.2,19.8019.8,33.4033.4,50.3050.3,65.2065.2,68.8068.8,73.7073.7,72.6072.6,69.3069.3,52.9052.9,47.9047.9,45.2045.2
121,2016,Hunterdon,28.9028.9,34.0034.0,45.6045.6,49.8049.8,59.4059.4,69.8069.8,75.8075.8,75.3075.3,68.2068.2,55.0055.0,45.2045.2,34.5034.5
122,2017,Hunterdon,34.2034.2,38.1038.1,37.1037.1,54.7054.7,58.7058.7,69.1069.1,74.1074.1,69.9069.9,66.9066.9,59.0059.0,42.3042.3,31.4031.4
123,2018,Hunterdon,26.5026.5,36.8036.8,36.9036.9,46.4046.4,64.0064.0,68.8068.8,74.9074.9,75.1075.1,68.2068.2,54.7054.7,40.5040.5,36.0036.0
124,2019,Hunterdon,29.8029.8,32.4032.4,37.8037.8,53.5053.5,61.5061.5,68.8068.8,76.6076.6,73.1073.1,67.3067.3,56.2056.2,39.9039.9,33.8033.8

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Mercer,22.8022.8,31.4031.4,36.2036.2,49.2049.2,61.8061.8,68.7068.7,74.7074.7,74.1074.1,68.4068.4,56.3056.3,45.6045.6,33.2033.2
76,1971,Mercer,25.7025.7,33.1033.1,38.4038.4,48.3048.3,57.7057.7,70.7070.7,73.7073.7,71.7071.7,68.3068.3,59.9059.9,42.8042.8,39.4039.4
77,1972,Mercer,33.0033.0,29.4029.4,38.3038.3,47.5047.5,60.2060.2,66.1066.1,74.8074.8,72.5072.5,66.4066.4,49.9049.9,41.5041.5,37.7037.7
78,1973,Mercer,32.9032.9,31.2031.2,44.9044.9,51.5051.5,57.6057.6,72.2072.2,75.2075.2,75.2075.2,67.0067.0,56.4056.4,45.8045.8,37.0037.0
79,1974,Mercer,33.6033.6,30.6030.6,41.2041.2,53.2053.2,59.8059.8,67.0067.0,73.9073.9,73.0073.0,64.9064.9,51.1051.1,45.4045.4,37.3037.3
80,1975,Mercer,35.1035.1,33.9033.9,38.9038.9,45.9045.9,63.8063.8,69.7069.7,74.2074.2,73.5073.5,62.7062.7,57.8057.8,50.0050.0,35.0035.0
81,1976,Mercer,26.5026.5,38.7038.7,43.8043.8,53.6053.6,59.7059.7,71.9071.9,72.5072.5,72.0072.0,64.5064.5,50.3050.3,38.9038.9,28.7028.7
82,1977,Mercer,19.8019.8,32.5032.5,45.9045.9,52.7052.7,63.0063.0,68.0068.0,75.4075.4,73.2073.2,67.1067.1,52.6052.6,46.0046.0,32.5032.5
83,1978,Mercer,26.7026.7,23.4023.4,37.2037.2,49.3049.3,58.4058.4,69.4069.4,72.3072.3,74.2074.2,63.9063.9,53.1053.1,45.4045.4,36.0036.0
84,1979,Mercer,30.8030.8,21.7021.7,44.4044.4,49.6049.6,61.7061.7,66.8066.8,73.2073.2,72.8072.8,65.8065.8,53.0053.0,48.7048.7,36.9036.9
85,1980,Mercer,30.8030.8,28.8028.8,38.7038.7,52.2052.2,62.8062.8,67.7067.7,76.4076.4,76.2076.2,69.0069.0,52.8052.8,41.7041.7,30.4030.4
86,1981,Mercer,23.6023.6,37.0037.0,38.7038.7,53.7053.7,61.3061.3,70.4070.4,75.6075.6,71.5071.5,64.9064.9,50.8050.8,44.0044.0,33.0033.0
87,1982,Mercer,22.8022.8,33.4033.4,39.9039.9,48.4048.4,62.2062.2,66.4066.4,74.3074.3,70.0070.0,65.2065.2,54.5054.5,47.1047.1,40.2040.2
88,1983,Mercer,32.0032.0,33.1033.1,42.9042.9,49.7049.7,59.3059.3,69.9069.9,76.1076.1,75.3075.3,67.2067.2,54.9054.9,45.3045.3,32.2032.2
89,1984,Mercer,25.6025.6,38.4038.4,35.1035.1,49.1049.1,59.7059.7,71.6071.6,73.0073.0,73.8073.8,63.0063.0,58.9058.9,43.7043.7,40.3040.3
90,1985,Mercer,26.2026.2,33.6033.6,43.3043.3,53.4053.4,63.3063.3,66.9066.9,74.1074.1,72.4072.4,67.2067.2,56.5056.5,48.2048.2,31.1031.1
91,1986,Mercer,31.3031.3,30.1030.1,42.4042.4,51.1051.1,64.0064.0,70.4070.4,75.0075.0,70.9070.9,65.3065.3,55.8055.8,42.6042.6,36.2036.2
92,1987,Mercer,29.7029.7,30.4030.4,43.5043.5,51.1051.1,61.6061.6,71.9071.9,76.7076.7,71.6071.6,65.7065.7,50.2050.2,45.8045.8,37.1037.1
93,1988,Mercer,24.7024.7,32.9032.9,42.1042.1,49.1049.1,61.1061.1,69.4069.4,77.7077.7,76.3076.3,63.7063.7,49.6049.6,45.7045.7,33.4033.4
94,1989,Mercer,34.8034.8,33.1033.1,40.4040.4,49.0049.0,60.1060.1,71.8071.8,73.4073.4,72.1072.1,66.4066.4,55.5055.5,43.3043.3,23.0023.0
95,1990,Mercer,38.4038.4,38.5038.5,43.9043.9,50.9050.9,59.0059.0,70.0070.0,74.7074.7,73.2073.2,64.2064.2,59.0059.0,46.9046.9,39.7039.7
96,1991,Mercer,32.1032.1,37.7037.7,43.8043.8,52.9052.9,66.3066.3,71.5071.5,75.5075.5,74.7074.7,65.0065.0,55.6055.6,45.2045.2,38.0038.0
97,1992,Mercer,33.3033.3,35.5035.5,38.9038.9,49.1049.1,58.3058.3,67.7067.7,73.1073.1,69.9069.9,65.1065.1,50.6050.6,44.2044.2,35.2035.2
98,1993,Mercer,35.7035.7,29.2029.2,37.4037.4,51.3051.3,62.7062.7,70.2070.2,76.6076.6,74.1074.1,65.7065.7,52.8052.8,44.2044.2,34.6034.6
99,1994,Mercer,24.0024.0,28.7028.7,39.2039.2,53.9053.9,59.1059.1,73.5073.5,77.9077.9,70.8070.8,64.7064.7,52.7052.7,48.8048.8,39.3039.3
100,1995,Mercer,35.8035.8,29.1029.1,44.2044.2,50.0050.0,59.3059.3,70.2070.2,76.8076.8,74.9074.9,66.2066.2,58.4058.4,41.0041.0,30.0030.0
101,1996,Mercer,29.1029.1,32.4032.4,37.4037.4,51.5051.5,59.0059.0,71.3071.3,72.4072.4,72.8072.8,66.6066.6,54.3054.3,40.5040.5,39.1039.1
102,1997,Mercer,31.0031.0,38.5038.5,42.1042.1,48.8048.8,57.7057.7,68.2068.2,74.4074.4,71.6071.6,64.8064.8,54.6054.6,42.5042.5,36.6036.6
103,1998,Mercer,39.6039.6,39.6039.6,44.1044.1,53.0053.0,64.1064.1,69.0069.0,75.2075.2,74.9074.9,68.7068.7,55.5055.5,44.9044.9,40.6040.6
104,1999,Mercer,33.3033.3,35.8035.8,40.7040.7,51.3051.3,60.7060.7,71.4071.4,79.5079.5,74.5074.5,67.6067.6,53.2053.2,48.6048.6,38.0038.0
105,2000,Mercer,30.8030.8,35.8035.8,46.2046.2,50.5050.5,62.7062.7,70.8070.8,71.6071.6,71.5071.5,64.8064.8,55.2055.2,44.0044.0,29.5029.5
106,2001,Mercer,30.4030.4,35.6035.6,38.9038.9,51.9051.9,62.3062.3,72.0072.0,72.0072.0,76.1076.1,65.5065.5,56.2056.2,50.0050.0,42.2042.2
107,2002,Mercer,37.6037.6,39.2039.2,44.0044.0,53.8053.8,59.6059.6,70.8070.8,76.9076.9,76.7076.7,68.4068.4,54.3054.3,43.5043.5,33.2033.2
108,2003,Mercer,26.6026.6,28.7028.7,41.8041.8,48.7048.7,57.5057.5,67.8067.8,75.2075.2,75.9075.9,67.3067.3,53.1053.1,48.9048.9,36.3036.3
109,2004,Mercer,24.9024.9,33.7033.7,43.6043.6,52.3052.3,66.7066.7,69.8069.8,73.8073.8,73.0073.0,68.0068.0,53.9053.9,46.6046.6,35.7035.7
110,2005,Mercer,30.6030.6,34.7034.7,37.7037.7,53.3053.3,57.4057.4,73.2073.2,76.7076.7,77.0077.0,70.5070.5,56.4056.4,47.8047.8,32.8032.8
111,2006,Mercer,39.0039.0,34.5034.5,42.5042.5,54.0054.0,62.2062.2,71.1071.1,77.4077.4,74.2074.2,64.5064.5,53.6053.6,49.9049.9,42.3042.3
112,2007,Mercer,37.1037.1,26.9026.9,41.7041.7,48.8048.8,63.8063.8,71.5071.5,74.1074.1,74.2074.2,68.6068.6,62.5062.5,43.5043.5,35.9035.9
113,2008,Mercer,35.0035.0,35.6035.6,42.6042.6,53.8053.8,58.7058.7,73.7073.7,76.8076.8,71.6071.6,67.8067.8,53.3053.3,43.7043.7,36.7036.7
114,2009,Mercer,27.0027.0,35.3035.3,41.4041.4,53.1053.1,62.2062.2,68.3068.3,72.6072.6,75.2075.2,64.8064.8,53.4053.4,49.6049.6,35.1035.1
115,2010,Mercer,32.0032.0,31.7031.7,47.3047.3,56.3056.3,64.8064.8,74.7074.7,79.4079.4,75.9075.9,70.0070.0,56.4056.4,45.3045.3,31.4031.4
116,2011,Mercer,27.5027.5,34.8034.8,42.0042.0,54.8054.8,64.7064.7,72.5072.5,79.3079.3,74.4074.4,69.4069.4,56.3056.3,49.3049.3,40.8040.8
117,2012,Mercer,35.9035.9,38.9038.9,50.6050.6,53.3053.3,65.9065.9,70.4070.4,78.0078.0,75.1075.1,67.3067.3,56.6056.6,41.2041.2,40.6040.6
118,2013,Mercer,34.1034.1,32.9032.9,39.0039.0,51.8051.8,61.2061.2,71.6071.6,78.2078.2,71.6071.6,64.5064.5,57.3057.3,43.1043.1,35.7035.7
119,2014,Mercer,26.2026.2,29.3029.3,35.8035.8,50.8050.8,62.3062.3,71.2071.2,74.6074.6,71.0071.0,67.4067.4,56.9056.9,41.7041.7,39.0039.0
120,2015,Mercer,28.0028.0,22.7022.7,36.1036.1,52.4052.4,66.9066.9,71.0071.0,76.0076.0,74.9074.9,71.3071.3,54.8054.8,50.0050.0,48.6048.6
121,2016,Mercer,31.2031.2,35.9035.9,47.6047.6,51.1051.1,60.8060.8,71.4071.4,77.7077.7,77.1077.1,69.6069.6,56.5056.5,46.6046.6,36.6036.6
122,2017,Mercer,36.3036.3,40.6040.6,39.0039.0,56.0056.0,60.3060.3,71.2071.2,76.0076.0,71.8071.8,68.5068.5,60.7060.7,44.2044.2,33.3033.3
123,2018,Mercer,29.3029.3,39.6039.6,38.7038.7,48.2048.2,65.8065.8,70.7070.7,76.6076.6,77.2077.2,70.2070.2,56.3056.3,42.1042.1,38.1038.1
124,2019,Mercer,32.0032.0,35.3035.3,40.1040.1,55.6055.6,63.2063.2,71.0071.0,78.5078.5,74.8074.8,69.6069.6,58.2058.2,41.7041.7,36.5036.5

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Middlesex,22.8022.8,31.3031.3,36.3036.3,49.4049.4,61.7061.7,69.0069.0,74.9074.9,74.5074.5,68.1068.1,56.3056.3,45.6045.6,33.1033.1
76,1971,Middlesex,25.6025.6,32.5032.5,38.4038.4,48.2048.2,57.8057.8,70.9070.9,73.8073.8,72.2072.2,68.5068.5,59.9059.9,42.7042.7,38.9038.9
77,1972,Middlesex,32.9032.9,28.9028.9,38.1038.1,47.3047.3,60.6060.6,66.3066.3,75.3075.3,72.4072.4,66.6066.6,50.1050.1,41.5041.5,37.3037.3
78,1973,Middlesex,33.2033.2,30.8030.8,44.8044.8,51.5051.5,57.8057.8,72.2072.2,75.3075.3,75.0075.0,66.9066.9,56.6056.6,45.7045.7,37.1037.1
79,1974,Middlesex,33.2033.2,30.2030.2,41.0041.0,53.1053.1,59.8059.8,67.2067.2,74.4074.4,73.5073.5,65.0065.0,50.8050.8,45.2045.2,37.2037.2
80,1975,Middlesex,35.0035.0,33.9033.9,38.6038.6,46.0046.0,64.0064.0,69.8069.8,74.4074.4,73.4073.4,62.6062.6,58.0058.0,49.7049.7,35.0035.0
81,1976,Middlesex,26.2026.2,37.6037.6,43.5043.5,53.4053.4,60.0060.0,72.2072.2,72.5072.5,72.3072.3,64.4064.4,50.6050.6,38.8038.8,28.3028.3
82,1977,Middlesex,19.7019.7,31.7031.7,45.3045.3,52.6052.6,63.0063.0,68.0068.0,75.2075.2,73.2073.2,66.8066.8,52.9052.9,45.9045.9,32.4032.4
83,1978,Middlesex,26.7026.7,23.4023.4,36.8036.8,49.2049.2,58.5058.5,69.6069.6,72.6072.6,74.4074.4,63.8063.8,53.4053.4,45.7045.7,35.7035.7
84,1979,Middlesex,31.4031.4,21.8021.8,44.0044.0,49.8049.8,62.1062.1,66.8066.8,73.4073.4,72.9072.9,65.8065.8,53.5053.5,48.4048.4,36.6036.6
85,1980,Middlesex,31.1031.1,28.8028.8,38.3038.3,52.0052.0,62.8062.8,67.8067.8,76.5076.5,76.4076.4,68.9068.9,53.0053.0,41.3041.3,29.8029.8
86,1981,Middlesex,23.1023.1,36.5036.5,38.4038.4,53.4053.4,61.4061.4,70.4070.4,75.9075.9,71.7071.7,64.8064.8,50.8050.8,44.1044.1,33.0033.0
87,1982,Middlesex,22.7022.7,33.5033.5,39.3039.3,48.2048.2,62.1062.1,66.1066.1,74.3074.3,70.2070.2,65.3065.3,54.6054.6,47.1047.1,40.0040.0
88,1983,Middlesex,31.8031.8,33.2033.2,42.8042.8,49.5049.5,59.1059.1,70.2070.2,76.6076.6,75.1075.1,67.6067.6,55.1055.1,45.4045.4,32.5032.5
89,1984,Middlesex,26.0026.0,38.1038.1,34.4034.4,49.0049.0,59.8059.8,72.1072.1,73.1073.1,73.8073.8,63.1063.1,58.8058.8,43.9043.9,40.2040.2
90,1985,Middlesex,25.9025.9,33.3033.3,43.1043.1,52.7052.7,63.4063.4,66.9066.9,73.9073.9,72.4072.4,67.1067.1,56.1056.1,47.9047.9,31.2031.2
91,1986,Middlesex,31.2031.2,29.9029.9,42.1042.1,51.2051.2,63.9063.9,70.0070.0,74.6074.6,70.9070.9,64.9064.9,55.6055.6,42.6042.6,36.2036.2
92,1987,Middlesex,29.8029.8,30.8030.8,43.4043.4,51.0051.0,61.2061.2,71.6071.6,76.3076.3,71.5071.5,65.7065.7,50.5050.5,45.8045.8,37.2037.2
93,1988,Middlesex,25.0025.0,33.0033.0,42.0042.0,48.8048.8,60.6060.6,69.6069.6,77.5077.5,76.4076.4,64.4064.4,50.4050.4,46.3046.3,33.6033.6
94,1989,Middlesex,34.7034.7,32.9032.9,40.2040.2,49.0049.0,59.8059.8,71.4071.4,73.4073.4,72.2072.2,66.5066.5,55.4055.4,43.3043.3,23.2023.2
95,1990,Middlesex,38.3038.3,38.1038.1,43.0043.0,50.5050.5,58.7058.7,69.9069.9,74.6074.6,73.4073.4,64.4064.4,59.1059.1,47.3047.3,40.0040.0
96,1991,Middlesex,31.8031.8,37.7037.7,43.5043.5,52.9052.9,66.2066.2,71.6071.6,75.2075.2,74.7074.7,65.0065.0,55.6055.6,45.4045.4,38.0038.0
97,1992,Middlesex,33.4033.4,35.2035.2,38.4038.4,48.3048.3,58.4058.4,67.5067.5,72.7072.7,69.8069.8,65.2065.2,51.0051.0,44.3044.3,35.4035.4
98,1993,Middlesex,35.7035.7,28.9028.9,36.9036.9,51.1051.1,62.3062.3,69.9069.9,76.9076.9,73.9073.9,65.3065.3,52.6052.6,44.1044.1,34.7034.7
99,1994,Middlesex,24.0024.0,28.6028.6,38.8038.8,53.6053.6,59.3059.3,73.1073.1,77.7077.7,70.9070.9,65.1065.1,53.2053.2,48.9048.9,39.5039.5
100,1995,Middlesex,36.2036.2,28.9028.9,44.0044.0,49.9049.9,59.3059.3,70.1070.1,76.6076.6,75.1075.1,66.0066.0,58.3058.3,40.9040.9,30.2030.2
101,1996,Middlesex,29.2029.2,32.4032.4,37.1037.1,51.2051.2,58.9058.9,70.8070.8,72.2072.2,72.7072.7,66.7066.7,54.6054.6,41.0041.0,39.3039.3
102,1997,Middlesex,30.5030.5,38.7038.7,41.3041.3,49.0049.0,57.8057.8,68.5068.5,74.5074.5,71.5071.5,64.9064.9,54.5054.5,42.4042.4,36.6036.6
103,1998,Middlesex,39.5039.5,39.7039.7,43.9043.9,52.6052.6,63.6063.6,68.8068.8,75.4075.4,74.9074.9,68.6068.6,55.6055.6,45.1045.1,41.0041.0
104,1999,Middlesex,33.3033.3,36.3036.3,40.9040.9,51.7051.7,60.7060.7,71.9071.9,79.6079.6,74.8074.8,67.7067.7,53.1053.1,48.8048.8,38.1038.1
105,2000,Middlesex,30.8030.8,36.0036.0,45.9045.9,50.6050.6,62.3062.3,70.7070.7,71.6071.6,71.6071.6,65.2065.2,55.0055.0,43.9043.9,30.0030.0
106,2001,Middlesex,30.4030.4,35.8035.8,38.6038.6,52.0052.0,62.2062.2,71.4071.4,72.1072.1,76.3076.3,65.7065.7,55.8055.8,49.6049.6,42.1042.1
107,2002,Middlesex,37.8037.8,39.2039.2,43.3043.3,54.6054.6,59.2059.2,70.6070.6,77.1077.1,76.4076.4,68.4068.4,54.1054.1,43.4043.4,33.6033.6
108,2003,Middlesex,26.8026.8,28.5028.5,41.8041.8,48.5048.5,57.5057.5,67.7067.7,75.3075.3,76.0076.0,67.3067.3,52.8052.8,48.6048.6,36.1036.1
109,2004,Middlesex,25.0025.0,33.5033.5,43.0043.0,52.2052.2,66.0066.0,69.8069.8,73.6073.6,73.1073.1,68.2068.2,53.6053.6,46.8046.8,36.0036.0
110,2005,Middlesex,30.4030.4,34.8034.8,37.5037.5,53.2053.2,57.4057.4,73.1073.1,76.7076.7,77.5077.5,70.8070.8,56.4056.4,48.3048.3,33.2033.2
111,2006,Middlesex,39.1039.1,34.9034.9,42.4042.4,54.3054.3,62.0062.0,70.9070.9,77.6077.6,74.6074.6,64.9064.9,53.9053.9,50.0050.0,42.6042.6
112,2007,Middlesex,36.9036.9,27.4027.4,41.6041.6,48.7048.7,63.7063.7,71.2071.2,74.2074.2,73.8073.8,68.5068.5,62.4062.4,43.8043.8,35.9035.9
113,2008,Middlesex,35.0035.0,35.8035.8,41.9041.9,53.4053.4,58.1058.1,73.5073.5,77.1077.1,71.9071.9,68.2068.2,53.7053.7,44.2044.2,36.9036.9
114,2009,Middlesex,27.2027.2,35.6035.6,41.2041.2,52.7052.7,61.9061.9,68.2068.2,72.8072.8,75.7075.7,65.5065.5,53.5053.5,50.1050.1,35.1035.1
115,2010,Middlesex,32.0032.0,32.2032.2,46.7046.7,56.0056.0,64.7064.7,74.7074.7,79.5079.5,75.6075.6,70.0070.0,56.7056.7,45.5045.5,31.6031.6
116,2011,Middlesex,27.9027.9,34.8034.8,42.3042.3,54.4054.4,63.9063.9,72.2072.2,79.1079.1,74.5074.5,69.6069.6,56.6056.6,49.4049.4,41.0041.0
117,2012,Middlesex,35.8035.8,39.6039.6,50.2050.2,53.5053.5,65.4065.4,70.5070.5,78.5078.5,75.5075.5,68.0068.0,57.1057.1,41.7041.7,40.6040.6
118,2013,Middlesex,34.8034.8,33.4033.4,39.3039.3,52.1052.1,61.1061.1,71.9071.9,79.0079.0,72.3072.3,65.2065.2,57.6057.6,43.6043.6,36.3036.3
119,2014,Middlesex,26.5026.5,29.8029.8,35.9035.9,51.0051.0,62.3062.3,70.9070.9,74.9074.9,71.4071.4,67.9067.9,57.6057.6,42.3042.3,39.4039.4
120,2015,Middlesex,28.2028.2,22.8022.8,36.4036.4,52.5052.5,66.7066.7,70.8070.8,76.6076.6,75.9075.9,72.2072.2,55.3055.3,50.4050.4,48.8048.8
121,2016,Middlesex,32.0032.0,36.7036.7,48.0048.0,51.9051.9,61.2061.2,71.4071.4,78.0078.0,77.4077.4,70.3070.3,56.8056.8,47.2047.2,37.1037.1
122,2017,Middlesex,37.0037.0,40.6040.6,39.1039.1,56.3056.3,60.5060.5,71.2071.2,76.1076.1,72.2072.2,69.1069.1,61.1061.1,44.6044.6,33.7033.7
123,2018,Middlesex,29.4029.4,39.8039.8,39.2039.2,48.5048.5,65.6065.6,70.6070.6,76.9076.9,77.4077.4,70.4070.4,56.3056.3,42.6042.6,38.1038.1
124,2019,Middlesex,32.4032.4,35.2035.2,40.0040.0,55.3055.3,62.8062.8,70.8070.8,78.7078.7,74.8074.8,69.7069.7,58.5058.5,42.1042.1,36.5036.5

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Monmouth,23.2023.2,31.6031.6,36.4036.4,48.9048.9,61.0061.0,68.8068.8,74.4074.4,74.5074.5,68.6068.6,56.7056.7,45.9045.9,33.8033.8
76,1971,Monmouth,26.4026.4,32.9032.9,38.4038.4,47.8047.8,57.8057.8,70.4070.4,73.7073.7,72.4072.4,68.8068.8,60.6060.6,43.2043.2,39.6039.6
77,1972,Monmouth,33.4033.4,29.7029.7,38.4038.4,47.1047.1,59.5059.5,66.2066.2,74.8074.8,72.3072.3,66.9066.9,50.5050.5,41.9041.9,38.3038.3
78,1973,Monmouth,33.4033.4,31.2031.2,44.5044.5,51.7051.7,57.6057.6,71.6071.6,75.3075.3,75.2075.2,67.4067.4,56.9056.9,45.9045.9,37.8037.8
79,1974,Monmouth,34.5034.5,30.3030.3,41.5041.5,53.2053.2,59.6059.6,67.3067.3,74.1074.1,73.2073.2,65.1065.1,51.3051.3,45.5045.5,37.6037.6
80,1975,Monmouth,35.7035.7,34.3034.3,38.8038.8,46.0046.0,63.0063.0,69.6069.6,74.3074.3,73.6073.6,63.1063.1,58.4058.4,50.2050.2,35.6035.6
81,1976,Monmouth,26.9026.9,38.4038.4,44.0044.0,53.5053.5,60.1060.1,72.1072.1,72.4072.4,72.0072.0,64.6064.6,50.6050.6,39.2039.2,28.8028.8
82,1977,Monmouth,20.0020.0,32.2032.2,45.3045.3,52.6052.6,62.5062.5,67.7067.7,75.0075.0,73.5073.5,67.2067.2,53.2053.2,46.3046.3,33.1033.1
83,1978,Monmouth,27.4027.4,23.4023.4,37.0037.0,49.0049.0,57.6057.6,69.3069.3,72.6072.6,74.2074.2,63.9063.9,53.4053.4,46.4046.4,36.3036.3
84,1979,Monmouth,32.0032.0,21.7021.7,43.3043.3,49.5049.5,61.8061.8,66.4066.4,73.2073.2,72.8072.8,65.9065.9,53.9053.9,48.4048.4,37.3037.3
85,1980,Monmouth,31.4031.4,28.9028.9,38.1038.1,51.5051.5,62.6062.6,67.8067.8,75.9075.9,76.1076.1,68.5068.5,53.6053.6,41.5041.5,30.2030.2
86,1981,Monmouth,23.2023.2,36.2036.2,38.2038.2,53.1053.1,60.6060.6,69.9069.9,75.7075.7,71.7071.7,65.3065.3,51.6051.6,44.2044.2,33.4033.4
87,1982,Monmouth,22.8022.8,34.0034.0,39.6039.6,47.8047.8,61.3061.3,65.9065.9,74.3074.3,70.7070.7,65.1065.1,54.9054.9,47.3047.3,40.6040.6
88,1983,Monmouth,32.5032.5,32.8032.8,42.4042.4,49.5049.5,58.6058.6,69.9069.9,76.2076.2,74.6074.6,67.4067.4,55.5055.5,45.7045.7,33.4033.4
89,1984,Monmouth,26.8026.8,38.3038.3,34.5034.5,48.8048.8,59.1059.1,71.5071.5,72.9072.9,73.5073.5,63.3063.3,58.9058.9,44.2044.2,41.2041.2
90,1985,Monmouth,26.3026.3,33.7033.7,43.1043.1,52.4052.4,63.1063.1,67.0067.0,74.2074.2,72.3072.3,67.3067.3,57.3057.3,49.5049.5,31.7031.7
91,1986,Monmouth,31.3031.3,30.2030.2,42.0042.0,50.5050.5,63.1063.1,69.9069.9,74.5074.5,71.1071.1,65.4065.4,56.2056.2,43.3043.3,37.1037.1
92,1987,Monmouth,30.3030.3,30.4030.4,42.6042.6,50.1050.1,61.1061.1,71.2071.2,76.1076.1,71.3071.3,65.8065.8,50.5050.5,46.4046.4,37.3037.3
93,1988,Monmouth,25.7025.7,33.6033.6,42.2042.2,48.6048.6,60.1060.1,69.5069.5,76.8076.8,76.3076.3,64.5064.5,50.6050.6,46.9046.9,34.3034.3
94,1989,Monmouth,35.6035.6,33.8033.8,40.2040.2,48.9048.9,59.5059.5,71.7071.7,73.4073.4,72.6072.6,67.1067.1,55.6055.6,44.3044.3,24.3024.3
95,1990,Monmouth,39.0039.0,38.8038.8,43.5043.5,50.4050.4,58.9058.9,69.9069.9,75.0075.0,73.4073.4,64.7064.7,59.8059.8,47.6047.6,40.7040.7
96,1991,Monmouth,32.6032.6,38.9038.9,43.5043.5,52.8052.8,65.9065.9,71.5071.5,75.7075.7,75.0075.0,65.2065.2,55.7055.7,46.0046.0,38.5038.5
97,1992,Monmouth,33.7033.7,35.5035.5,38.4038.4,47.9047.9,57.9057.9,67.2067.2,72.8072.8,70.0070.0,65.7065.7,51.6051.6,45.0045.0,35.8035.8
98,1993,Monmouth,36.7036.7,29.8029.8,37.4037.4,50.7050.7,62.0062.0,69.9069.9,76.6076.6,73.8073.8,65.8065.8,53.4053.4,44.6044.6,35.2035.2
99,1994,Monmouth,24.9024.9,29.3029.3,39.4039.4,53.4053.4,59.0059.0,72.2072.2,77.4077.4,70.8070.8,65.2065.2,53.7053.7,49.6049.6,40.3040.3
100,1995,Monmouth,36.8036.8,29.4029.4,43.5043.5,49.2049.2,59.1059.1,69.6069.6,76.4076.4,75.1075.1,66.6066.6,58.9058.9,42.3042.3,31.3031.3
101,1996,Monmouth,30.3030.3,33.4033.4,37.9037.9,50.9050.9,58.8058.8,70.2070.2,72.3072.3,72.4072.4,66.9066.9,54.8054.8,41.0041.0,39.6039.6
102,1997,Monmouth,31.6031.6,39.4039.4,42.2042.2,48.6048.6,57.7057.7,68.3068.3,74.6074.6,71.7071.7,65.5065.5,54.9054.9,43.2043.2,37.2037.2
103,1998,Monmouth,40.3040.3,39.6039.6,44.0044.0,52.4052.4,63.0063.0,68.7068.7,75.2075.2,74.7074.7,68.8068.8,55.8055.8,45.4045.4,41.4041.4
104,1999,Monmouth,34.7034.7,36.6036.6,41.3041.3,51.8051.8,60.4060.4,71.7071.7,78.9078.9,74.6074.6,67.9067.9,54.1054.1,49.4049.4,38.5038.5
105,2000,Monmouth,30.8030.8,36.5036.5,46.0046.0,50.3050.3,62.1062.1,70.7070.7,71.7071.7,72.0072.0,65.9065.9,55.3055.3,44.3044.3,30.5030.5
106,2001,Monmouth,31.1031.1,36.6036.6,38.9038.9,51.6051.6,62.1062.1,71.5071.5,72.5072.5,76.4076.4,65.6065.6,56.0056.0,50.0050.0,42.5042.5
